locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
Line 564265: 564264,"LB","05","Ghobeiry","",33.8593,35.5041,,
Line 564638: 564637,"LB","04","Furn El Chebbak","",33.8716,35.5255,,
Line 565034: 565033,"LB","04","Ashrafieh","",33.8853,35.5196,,
Line 566928: 566927,"LB","00","Nabatieh","",33.3772,35.4838,,
Line 567183: 567182,"LB","04","Birut","",33.8889,35.4944,,
Line 568140: 568139,"LB","04","Geitawi","",33.8937,35.5298,,
Line 568838: 568837,"LB","00","Lebanon","",33.8333,35.8333,,
Line 570325: 570324,"LB","05","Awkar","",33.9336,35.5978,,
Line 572374: 572373,"LB","05","Aamaret Chalhoub","",33.8978,35.5675,,
Line 580113: 580112,"LB","05","Baabdat","",33.8911,35.6725,,
Line 582286: 582285,"LB","05","Mkalles","",33.8644,35.5506,,
Line 583997: 583996,"LB","05","Jnah","",33.8667,35.4833,,
Line 594692: 594691,"LB","05","Sawfar","",33.8000,35.7000,,
Line 605677: 605676,"LB","04","Raouche","",33.8899,35.4739,,
Line 640579: 640578,"LB","05","Rimhala","",33.7333,35.5667,,
Line 647236: 647235,"LB","08","Taalabaya","",33.8136,35.8644,,
Line 654588: 654587,"LB","05","Kfarshima","",33.8169,35.5361,,
Line 658500: 658499,"LB","06","Lebaa","",33.5489,35.4528,,
Line 690213: 690212,"LB","05","Jisr Al Basha","",33.8833,35.5667,,
Line 695391: 695390,"LB","01","Rayak","",33.8500,36.0000,,
Line 697611: 697610,"LB","04","Verdun","",33.8845,35.4838,,
Line 698033: 698032,"LB","05","Kfarchima","",33.8164,35.5325,,
Line 711971: 711970,"LB","05","Aitat","",33.7906,35.5569,,
Line 717085: 717084,"LB","03","Bebnîne","",34.5000,36.0000,,
Line 725978: 725977,"LB","04","Sodeco","",33.8862,35.5090,,
Line 732630: 732629,"LB","04","Bab Idriss","",33.8978,35.5004,,
Line 740530: 740529,"LB","05","Roumie","",33.8831,35.6192,,
Line 749846: 749845,"LB","05","Yarze","",33.8361,35.5519,,
Line 760597: 760596,"LB","05","Kfar Hbab","",34.0106,35.6586,,
Line 761133: 761132,"LB","05","Mezher","",33.9111,35.5914,,
Line 766626: 766625,"LB","05","Khalde","",33.7871,35.4807,,
Line 775004: 775003,"LB","05","Jiyeh","",33.6701,35.4253,,
Line 787682: 787681,"LB","03","Bejdarfel","",34.2500,35.7167,,
Line 806308: 806307,"LB","02","Aïnâta","",33.1333,35.4333,,
Line 806757: 806756,"LB","05","Sinn El Fil","",33.8800,35.5350,,
Line 809801: 809800,"LB","05","Bsus","",33.8167,35.5833,,
Line 810804: 810803,"LB","05","Kaslik","",33.9830,35.6178,,
Line 811256: 811255,"LB","05","El Blat","",33.7333,35.5667,,
Line 812368: 812367,"LB","05","Houmâl","",33.8167,35.5500,,
Line 817588: 817587,"LB","05","Fatqa","",34.0333,35.6667,,
Line 819633: 819632,"LB","07","Nabatieh","",33.3772,35.4838,,
Line 821793: 821792,"LB","05","El Kfour","",34.0333,35.7000,,
Line 824373: 824372,"LB","04","Mar Mikhael","",33.9015,35.5237,,
Line 827262: 827261,"LB","04","Tayouneh","",33.8703,35.5142,,
Line 828745: 828744,"LB","04","Habboûch","",33.4083,35.4861,,
Line 830878: 830877,"LB","05","Beït Ech Chaar","",33.9333,35.6167,,
Line 835241: 835240,"LB","05","Al Hazimiyah","",33.8667,35.5333,,
Line 835776: 835775,"LB","05","Doha","",33.7558,35.4667,,
Line 838288: 838287,"LB","03","Bechmezzîne","",34.3206,35.7961,,
Line 839423: 839422,"LB","05","Jel El Dib","",33.9000,35.5833,,
Line 839772: 839771,"LB","01","Baaloûl","",33.5894,35.7492,,
Line 840776: 840775,"LB","04","Ramlet El Bayda","",33.8697,35.4828,,
Line 854533: 854532,"LB","05","Jouret El Ballout","",33.7740,35.5002,,
Line 854986: 854985,"LB","05","Doueir","",33.6667,35.4833,,
Line 855327: 855326,"LB","05","El Hamra","",33.7167,35.4667,,
